A,B,C,D,E,F,G,J,K,price
28.290000000000003,A,E,3,7564.5,6765.0,485.85,19,567,40098
25.83,B,E,5,7355.4,7503.0,478.47,100,1502,40098
28.290000000000003,C,E,4,6998.7,7995.0,498.15,129,224,40221
35.669999999999995,B,I,10,7675.2,7134.0,516.6,83,1194,41082
38.13,C,J,3,7785.9,7134.0,533.8199999999999,42,907,41205
29.52,D,J,9,7724.4,7011.0,484.62,25,829,41328
29.52,D,I,22,7662.9,7011.0,485.85,161,1106,41328
31.98,D,H,5,7613.7,6765.0,500.61,39,163,41451
28.290000000000003,D,H,4,7306.2,7503.0,492.0,-81,792,41574
28.290000000000003,A,J,4,7724.4,6888.0,483.39000000000004,-18,392,41820
27.06,B,F,5,7429.2,7503.0,477.24,122,1265,42066
38.13,A,J,3,7650.6,6642.0,535.05,51,1663,42312
24.6,B,E,3,7404.6,7626.0,466.17,-87,1033,42435
39.36,B,E,41,7490.7,7134.0,538.74,-55,164,42435
36.9,A,I,3,7626.0,6642.0,530.13,109,774,42804
36.9,C,J,5,7798.2,6642.0,520.2900000000001,20,656,43173
36.9,C,J,5,7847.4,6888.0,520.2900000000001,57,881,43173
36.9,C,I,3,7785.9,6888.0,523.98,-63,597,43173
28.290000000000003,D,E,10,7847.4,6765.0,473.55,92,1067,43296
28.290000000000003,D,H,4,7503.0,7011.0,484.62,81,1384,43419
38.13,D,J,5,7306.2,7626.0,539.9699999999999,148,1026,43419
38.13,D,J,5,7146.3,7626.0,546.12,117,1843,43419
28.290000000000003,D,G,9,7429.2,7134.0,488.31,125,1409,43542
36.9,D,J,10,7650.6,7011.0,526.44,0,513,43911
28.290000000000003,D,D,10,7441.5,7503.0,487.08,106,1208,43911
28.290000000000003,D,F,4,7490.7,7011.0,487.08,110,927,43911
28.290000000000003,D,F,4,7355.4,7011.0,496.92,48,421,49446
28.290000000000003,D,E,4,7466.1,7257.0,488.31,-31,1057,49446
28.290000000000003,D,E,4,7318.5,7134.0,493.22999999999996,33,1672,49446
28.290000000000003,D,D,4,7613.7,7134.0,482.15999999999997,70,1465,49446
28.290000000000003,C,E,4,7884.299999999999,7257.0,471.09000000000003,-87,1147,49446
31.98,D,D,10,7478.4,7257.0,507.99,63,1681,49569
40.59,A,I,3,7601.4,6765.0,552.27,127,1543,49569
40.59,A,I,3,7527.6,6888.0,552.27,33,1516,49569
40.59,A,J,5,7515.3,6888.0,552.27,-41,263,49569
31.98,C,D,4,7183.2,7749.0,515.37,49,549,49569
39.36,C,H,3,7761.3,6888.0,533.8199999999999,159,1076,49569
35.669999999999995,B,F,5,7675.2,7134.0,521.52,86,1448,49569
39.36,D,H,3,7601.4,6765.0,535.05,126,1138,49569
39.36,C,H,3,7847.4,6888.0,536.2800000000001,48,949,49569
30.75,D,E,10,7785.9,7380.0,492.0,1,309,49692
35.669999999999995,D,H,3,7466.1,7380.0,532.59,-75,177,49692
29.52,D,F,5,7490.7,7503.0,494.4599999999999,78,1451,49692
28.290000000000003,A,G,4,7613.7,6642.0,483.39000000000004,22,879,49692
27.06,B,E,10,7576.8,7134.0,483.39000000000004,-25,313,49692
36.9,A,I,3,7503.0,7257.0,528.9,22,145,49815
36.9,B,J,3,7293.9,7503.0,544.89,-8,910,49815
36.9,D,I,5,7699.8,7011.0,522.75,149,1086,49815
36.9,D,I,5,7749.0,7011.0,526.44,-31,386,49815
36.9,C,I,5,7773.6,6765.0,522.75,147,963,49815
43.05,A,I,4,7490.7,7011.0,558.42,91,588,67896
36.9,B,D,5,7699.8,7257.0,520.2900000000001,-1,510,67896
36.9,A,D,5,7638.3,6888.0,528.9,-71,476,67896
39.36,A,I,22,7626.0,6801.9,539.9699999999999,110,519,68019
29.52,B,E,22,7466.1,7134.0,493.22999999999996,-72,837,68019
36.9,D,H,5,7761.3,6888.0,527.67,-78,649,68142
36.9,B,H,5,7736.7,7257.0,526.44,117,284,68142
36.9,C,H,5,7835.1,7011.0,526.44,-42,301,68142
31.98,D,E,9,7367.7,7134.0,510.45000000000005,-62,1365,68142
31.98,D,D,9,7675.2,6642.0,501.84000000000003,105,1300,68142
31.98,D,D,9,7724.4,7380.0,493.22999999999996,142,1540,68142
31.98,D,E,22,7699.8,7257.0,499.37999999999994,81,214,68142
31.98,D,E,22,7798.2,7257.0,492.0,9,542,68142
31.98,D,D,22,7638.3,7380.0,495.69000000000005,129,833,68142
31.98,A,E,9,7736.7,7134.0,494.4599999999999,-42,1763,68142
31.98,C,E,22,7121.7,7380.0,519.06,52,1459,68142
29.52,B,G,22,7662.9,7257.0,485.85,150,1145,68142
29.52,B,H,22,7527.6,7134.0,493.22999999999996,34,1229,68142
29.52,B,H,22,7478.4,7257.0,494.4599999999999,-31,1795,68142
29.52,B,H,9,7466.1,7134.0,500.61,27,1282,68142
39.36,B,I,5,7736.7,7134.0,535.05,-73,1316,68142
86.1,A,E,5,7687.5,7011.0,701.1,86,630,339111
105.78,D,E,3,6777.3,8487.0,793.35,-67,1775,339111
86.1,A,G,10,7576.8,6888.0,701.1,117,1692,339111
95.94,D,G,3,7847.4,6888.0,714.63,-72,1139,339357
86.1,C,E,10,7072.5,7134.0,719.55,49,634,339357
86.1,C,F,4,7306.2,7626.0,702.33,32,430,339357
118.08,D,F,3,8154.9,7626.0,771.2099999999999,63,1751,339357
89.78999999999999,D,E,5,7576.8,7257.0,709.7099999999999,114,464,339480
98.4,B,H,5,7564.5,7134.0,734.31,66,1736,339480
92.25,D,D,5,7773.6,6888.0,713.4,62,309,339480
92.25,B,E,5,7367.7,6642.0,738.0,-15,1101,339480
91.02,A,G,5,7576.8,6765.0,713.4,51,1614,339480
