area,rooms,floor,elev,parking,type,price
42,1,3,1,0,3,2406000
226,10,5,1,2,1,2719000
184,8,4,1,1,2,2798000
232,11,1,0,1,3,4339000
254,12,6,1,2,2,3607000
161,7,8,0,2,3,3580000
145,6,5,0,0,2,2023000
63,2,2,1,2,2,1653000
148,6,2,0,2,1,1823000
168,7,2,1,1,3,3760000
198,9,12,0,0,2,2674000
102,4,5,1,1,3,3185000
80,3,12,1,0,3,3013000
154,7,7,0,1,3,3498000
257,12,8,0,0,3,4381000
206,9,6,0,1,1,2148000
195,9,4,0,2,1,2070000
81,3,2,0,2,3,2962000
226,10,7,1,1,3,4351000
102,4,7,1,0,3,3012000
260,12,12,1,1,3,4737000
242,11,3,0,2,1,2714000
96,4,8,0,0,1,1065000
92,4,6,0,1,3,2944000
233,11,2,1,0,1,2619000
137,6,5,0,0,3,3268000
259,12,8,1,0,2,3470000
185,8,10,1,1,1,2212000
57,2,7,0,1,1,725000
154,7,12,1,1,3,3715000
124,5,11,1,2,3,3467000
140,6,3,1,1,2,2278000
58,2,7,1,2,1,1067000
230,11,8,0,2,3,4410000
179,8,5,1,2,1,2244000
185,8,10,1,0,1,2216000
93,4,4,0,2,2,1875000
244,11,7,1,2,3,4663000
236,11,9,1,0,1,2694000
145,6,5,1,0,1,1619000
244,11,7,1,0,3,4536000
48,1,9,1,0,1,778000
257,12,4,0,0,1,2539000
144,6,6,1,0,2,2234000
237,11,10,0,1,2,3114000
96,4,9,0,1,1,971000
72,3,1,1,0,1,1092000
155,7,12,1,1,2,2546000
63,2,2,0,1,3,2748000
224,10,5,1,2,1,2694000
127,5,4,0,0,1,1149000
106,4,8,0,1,1,1122000
157,7,2,0,1,1,1890000
80,3,9,1,1,3,3041000
212,10,1,0,1,1,2350000
100,4,7,0,2,2,1804000
173,8,9,0,1,3,3752000
112,5,7,1,0,3,3221000
80,3,9,0,1,3,2739000
182,8,9,0,0,3,3746000
42,1,12,0,0,3,2258000
